threshold,precision,recall,f1,auprc,true_negatives,false_positives,false_negatives,true_positives
0.01,0.25073746312684364,0.9042553191489362,0.39260969976905313,0.8838308891686253,56397,254,9,85
0.02,0.3684210526315789,0.8936170212765957,0.5217391304347826,0.8838308891686253,56507,144,10,84
0.03,0.46153846153846156,0.8936170212765957,0.6086956521739131,0.8838308891686253,56553,98,10,84
0.04,0.5384615384615384,0.8936170212765957,0.672,0.8838308891686253,56579,72,10,84
0.05,0.5763888888888888,0.8829787234042553,0.6974789915966386,0.8838308891686253,56590,61,11,83
0.060000000000000005,0.6287878787878788,0.8829787234042553,0.7345132743362832,0.8838308891686253,56602,49,11,83
0.06999999999999999,0.664,0.8829787234042553,0.7579908675799086,0.8838308891686253,56609,42,11,83
0.08,0.7256637168141593,0.8723404255319149,0.7922705314009661,0.8838308891686253,56620,31,12,82
0.09,0.7592592592592593,0.8723404255319149,0.8118811881188119,0.8838308891686253,56625,26,12,82
0.09999999999999999,0.7663551401869159,0.8723404255319149,0.8159203980099502,0.8838308891686253,56626,25,12,82
0.11,0.7788461538461539,0.8617021276595744,0.8181818181818182,0.8838308891686253,56628,23,13,81
0.12,0.7864077669902912,0.8617021276595744,0.8223350253807107,0.8838308891686253,56629,22,13,81
0.13,0.801980198019802,0.8617021276595744,0.8307692307692308,0.8838308891686253,56631,20,13,81
0.14,0.801980198019802,0.8617021276595744,0.8307692307692308,0.8838308891686253,56631,20,13,81
0.15000000000000002,0.8181818181818182,0.8617021276595744,0.8393782383419689,0.8838308891686253,56633,18,13,81
0.16,0.826530612244898,0.8617021276595744,0.84375,0.8838308891686253,56634,17,13,81
0.17,0.826530612244898,0.8617021276595744,0.84375,0.8838308891686253,56634,17,13,81
0.18000000000000002,0.826530612244898,0.8617021276595744,0.84375,0.8838308891686253,56634,17,13,81
0.19,0.826530612244898,0.8617021276595744,0.84375,0.8838308891686253,56634,17,13,81
0.2,0.826530612244898,0.8617021276595744,0.84375,0.8838308891686253,56634,17,13,81
0.21000000000000002,0.8350515463917526,0.8617021276595744,0.8481675392670157,0.8838308891686253,56635,16,13,81
0.22,0.8350515463917526,0.8617021276595744,0.8481675392670157,0.8838308891686253,56635,16,13,81
0.23,0.8350515463917526,0.8617021276595744,0.8481675392670157,0.8838308891686253,56635,16,13,81
0.24000000000000002,0.84375,0.8617021276595744,0.8526315789473684,0.8838308891686253,56636,15,13,81
0.25,0.8526315789473684,0.8617021276595744,0.8571428571428571,0.8838308891686253,56637,14,13,81
0.26,0.8709677419354839,0.8617021276595744,0.8663101604278075,0.8838308891686253,56639,12,13,81
0.27,0.8709677419354839,0.8617021276595744,0.8663101604278075,0.8838308891686253,56639,12,13,81
0.28,0.8709677419354839,0.8617021276595744,0.8663101604278075,0.8838308891686253,56639,12,13,81
0.29000000000000004,0.8709677419354839,0.8617021276595744,0.8663101604278075,0.8838308891686253,56639,12,13,81
